"data","host","nuovi_casi","casi_totali"
2022-08-16,"uomini",86,230
2022-08-16,"equidi",2,8
2022-08-16,"uccelli bersaglio",30,50
2022-08-16,"uccelli selvatici",8,29
2022-08-16,"zanzare",52,173
2022-08-23,"uomini",71,301
2022-08-23,"equidi",7,15
2022-08-23,"uccelli bersaglio",16,66
2022-08-23,"uccelli selvatici",47,76
2022-08-23,"zanzare",13,186
2022-08-30,"uomini",85,386
2022-08-30,"equidi",4,19
2022-08-30,"uccelli bersaglio",6,72
2022-08-30,"uccelli selvatici",3,79
2022-08-30,"zanzare",2,188
2022-09-06,"uomini",54,440
2022-09-06,"equidi",8,27
2022-09-06,"uccelli bersaglio",30,102
2022-09-06,"uccelli selvatici",34,113
2022-09-06,"zanzare",15,203
2022-09-13,"uomini",35,475
2022-09-13,"equidi",5,32
2022-09-13,"uccelli bersaglio",2,104
2022-09-13,"uccelli selvatici",6,119
2022-09-13,"zanzare",5,208
2022-09-20,"uomini",42,517
2022-09-20,"equidi",8,40
2022-09-20,"uccelli bersaglio",8,112
2022-09-20,"uccelli selvatici",29,148
2022-09-20,"zanzare",15,223
2022-09-27,"uomini",20,537
2022-09-27,"equidi",3,43
2022-09-27,"uccelli bersaglio",7,119
2022-09-27,"uccelli selvatici",7,155
2022-09-27,"zanzare",7,230
2022-10-04,"uomini",14,551
2022-10-04,"equidi",4,47
2022-10-04,"uccelli bersaglio",3,122
2022-10-04,"uccelli selvatici",6,161
2022-10-04,"zanzare",5,235
2022-10-11,"uomini",15,566
2022-10-11,"equidi",2,49
2022-10-11,"uccelli bersaglio",4,126
2022-10-11,"uccelli selvatici",9,170
2022-10-11,"zanzare",1,236
2022-10-18,"uomini",9,575
2022-10-18,"equidi",0,49
2022-10-18,"uccelli bersaglio",2,128
2022-10-18,"uccelli selvatici",0,170
2022-10-18,"zanzare",2,238
2022-10-25,"uomini",12,587
2022-10-25,"equidi",7,56
2022-10-25,"uccelli bersaglio",10,138
2022-10-25,"uccelli selvatici",20,190
2022-10-25,"zanzare",1,239
2022-11-01,"uomini",1,588
2022-11-01,"equidi",22,78
2022-11-01,"uccelli bersaglio",3,141
2022-11-01,"uccelli selvatici",5,195
2022-11-01,"zanzare",1,240
