"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-04",2012-01-23,2012-01-29,"Apulia",16,41.12559576,16.86736689,116,717,151117,"4.74",124,"16",243,"14.64",318,"3.2",32,"1.16"
"2012-04",2012-01-23,2012-01-29,"Basilicata",17,40.63947052,15.80514834,1,7,1503,"4.66",0,"0",0,"0",5,"4.33",2,"6.21"
"2012-04",2012-01-23,2012-01-29,"Calabria",18,38.90597598,16.59440194,15,121,20465,"5.91",36,"23.47",38,"11",44,"3.65",3,"0.87"
"2012-04",2012-01-23,2012-01-29,"Sicily",19,38.11569725,13.3623567,46,379,62469,"6.07",25,"20.34",75,"24.36",240,"5.35",39,"2.93"
"2012-04",2012-01-23,2012-01-29,"Sardinia",20,39.21531192,9.110616306,6,20,5796,"3.45",10,"13.23",3,"1.81",7,"2.92",0,"0"
"2012-05",2012-01-30,2012-02-05,"Piedmont",1,45.0732745,7.680687483,43,566,56535,"10.01",94,"27.61",93,"14.85",312,"9.09",67,"5.34"
"2012-05",2012-01-30,2012-02-05,"Aosta Valley",2,45.73750286,7.320149366,5,85,7009,"12.13",7,"18.09",8,"13.7",59,"13.8",11,"6.24"
"2012-05",2012-01-30,2012-02-05,"Lombardy",3,45.46679409,9.190347404,140,1641,194992,"8.42",376,"23.27",423,"15.04",730,"6.61",112,"2.79"
"2012-05",2012-01-30,2012-02-05,"AP Bolzano",21,46.49933453,11.35662422,11,97,18794,"5.16",19,"31.4",14,"5.94",61,"4.97",3,"0.84"
"2012-05",2012-01-30,2012-02-05,"AP Trento",22,46.06893511,11.12123097,13,296,17018,"17.39",123,"86.07",86,"24.53",73,"7.89",14,"4.94"
"2012-05",2012-01-30,2012-02-05,"Veneto",5,45.43490485,12.33845213,79,1056,102254,"10.33",244,"33.61",248,"17.71",484,"8.2",80,"3.64"
"2012-05",2012-01-30,2012-02-05,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,18,81,23409,"3.46",22,"10.89",18,"5.15",34,"2.68",7,"1.34"
"2012-05",2012-01-30,2012-02-05,"Liguria",7,44.41149315,8.9326992,37,313,43892,"7.13",60,"20.17",82,"16.6",153,"6.17",18,"1.61"
"2012-05",2012-01-30,2012-02-05,"Emilia Romagna",8,44.49436681,11.3417208,72,1197,96474,"12.41",280,"39.86",281,"20.63",557,"10.15",79,"3.77"
