"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-08-05,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-05,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-05,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-05,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-05,"Veneto",5,45.43490485,12.33845213,4,37
2022-08-09,"Abruzzo",13,42.35122196,13.39843823,1,2
2022-08-09,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-09,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-09,"Campania",15,40.83956555,14.25084984,11,18
2022-08-09,"Emilia-Romagna",8,44.49436681,11.3417208,3,65
2022-08-09,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,11
2022-08-09,"Lazio",12,41.89277044,12.48366722,5,114
2022-08-09,"Liguria",7,44.41149315,8.9326992,3,12
2022-08-09,"Lombardia",3,45.46679409,9.190347404,15,265
2022-08-09,"Marche",11,43.61675973,13.5188753,2,4
2022-08-09,"Molise",14,41.55774754,14.65916051,0,0
2022-08-09,"Piemonte",1,45.0732745,7.680687483,1,22
2022-08-09,"Puglia",16,41.12559576,16.86736689,3,12
2022-08-09,"Sardegna",20,39.21531192,9.110616306,0,1
2022-08-09,"Sicilia",19,38.11569725,13.3623567,0,2
2022-08-09,"Toscana",9,43.76923077,11.25588885,4,25
2022-08-09,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-09,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-09,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-09,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-09,"Veneto",5,45.43490485,12.33845213,5,42
2022-08-12,"Abruzzo",13,42.35122196,13.39843823,0,2
2022-08-12,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-12,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-12,"Campania",15,40.83956555,14.25084984,3,21
2022-08-12,"Emilia-Romagna",8,44.49436681,11.3417208,4,69
2022-08-12,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,11
2022-08-12,"Lazio",12,41.89277044,12.48366722,4,118
2022-08-12,"Liguria",7,44.41149315,8.9326992,1,13
2022-08-12,"Lombardia",3,45.46679409,9.190347404,18,283
2022-08-12,"Marche",11,43.61675973,13.5188753,0,4
2022-08-12,"Molise",14,41.55774754,14.65916051,0,0
2022-08-12,"Piemonte",1,45.0732745,7.680687483,3,25
2022-08-12,"Puglia",16,41.12559576,16.86736689,1,13
2022-08-12,"Sardegna",20,39.21531192,9.110616306,2,3
2022-08-12,"Sicilia",19,38.11569725,13.3623567,2,4
2022-08-12,"Toscana",9,43.76923077,11.25588885,5,30
